Date,Account Symbol,Stock Ticker,Security Number,Security Description,Shares/Par (Full),Price (Base),Traded Market Value (Base),Portfolio Weight %,Asset Group
7/20/2026,YOLO,MSOS,00768Y453,ADVISORSHARES PURE US CANN,"1,588,325",4.43,"7,036,279.75",22.88%,MF
,,CURLF,23126M300,CURALEAF HOLDINGS INC,"520,000",9.24,"4,804,800.00",15.63%,FS
,,TRLV,89788C104,TRULIEVE CANNABIS CORP,"506,152",8.76,"4,433,891.52",14.42%,FS
,,VFF,92707Y108,VILLAGE FARMS INTERNATIONAL,"1,806,142",1.95,"3,521,976.90",11.45%,FS
,,HITI,42981E401,HIGH TIDE INC,"1,180,774",2.16,"2,550,471.84",8.30%,FS
,,GLAS,377130406,GLASS HOUSE BRANDS INC,"143,000",10.71,"1,531,530.00",4.98%,FS
,,CRON,22717L101,CRONOS GROUP INC,"502,394",2.8,"1,406,703.20",4.58%,FS
,,OGI,68617J100,ORGANIGRAM GLOBAL INC,"948,057",0.93,"881,029.37",2.87%,FS
,,TSNDF,88105E108,TERRASCEND CORP,"1,400,000",0.55,"765,240.00",2.49%,FS
,,CWEB,BGHY2B1,CHARLOTTES WEB HOLDINGS INC,"3,426,805",0.21,"719,148.81",2.34%,FS
,,SNDL,83307B101,SNDL INC,"550,728",1.28,"704,931.84",2.29%,FS
,,ACB,05156X850,AURORA CANNABIS INC,"201,110",2.59,"520,874.90",1.69%,FS
,,ROMJF,78112W100,RUBICON ORGANICS INC,"1,528,936",0.32,"490,482.67",1.60%,FS
,,TLRY,88688T209,TILRAY BRANDS INC,"111,263",4.23,"470,642.49",1.53%,S
,,CGC,138035704,CANOPY GROWTH CORP,"389,683",0.93,"363,924.95",1.18%,FS
,,LOVE,BMZMHL4,CANNARA BIOTECH INC,"247,894",1.34,"333,299.89",1.08%,FS
,,CNTMF,34380L102,FLUENT CORP,"6,194,547",0.02,"136,589.76",0.44%,FS
,,PCLOF,71716K101,PHARMACIELO LTD,"308,085",0.04,"13,019.67",0.04%,FS
,,,X9USDBLYT,BLACKROCK TREASURY TRUST INSTL 62,"160,819.94",1,"160,819.94",0.52%,MM
,,,,CASH,"-99,195.48",100,"-99,195.48",-0.32%,CA
